s1	n_true	n_true_s2	n_true_s3	validation
S1-301231500	4	3	1	0
S1-381343195	5	4	1	0
S1-977345487	5	1	4	0
S1-56556913	3	1	2	0
S1-955927137	4	1	3	0
S1-195306212	0	0	0	0
S1-419810929	0	0	0	0
S1-678898601	3	3	0	0
S1-695507211	6	2	4	0
S1-670428341	4	2	2	0
S1-771170808	5	3	2	0
S1-255555674	5	2	3	0
S1-621501330	0	0	0	0
S1-325830951	1	0	1	0
S1-662283595	2	1	1	1
S1-226577000	7	2	5	0
S1-473011333	3	1	2	0
S1-795728135	1	0	1	0
S1-888401673	7	4	3	0
S1-104944987	1	1	0	0
S1-945338541	2	0	2	0
S1-583483345	6	2	4	0
S1-283341612	2	1	1	0
S1-772529270	1	0	1	0
S1-604613471	2	1	1	0
S1-360503863	4	0	4	0
S1-669904710	3	2	1	0
S1-264140479	5	2	3	0
S1-854667237	2	1	1	0
S1-106898123	3	1	2	0
S1-141683936	7	3	4	0
S1-458455597	4	1	3	0
S1-213755230	3	0	3	0
S1-431842088	0	0	0	0
S1-197040995	4	2	2	0
S1-129998423	2	1	1	0
S1-777699252	2	1	1	0
S1-710139409	0	0	0	0
S1-6196517	5	2	3	0
S1-682810691	6	4	2	0
S1-433756312	4	2	2	0
S1-545194664	2	1	1	0
S1-683239030	3	2	1	1
S1-414831318	1	0	1	0
S1-758070915	2	0	2	1
S1-265707414	0	0	0	0
S1-483254223	4	2	2	0
S1-86193757	4	2	2	0
S1-420260214	5	3	2	0
S1-946539058	3	1	2	1
S1-802267646	8	4	4	0
S1-511336221	3	2	1	0
S1-389821786	0	0	0	1
S1-317992973	0	0	0	0
S1-75762876	4	2	2	0
S1-30578063	1	1	0	0
S1-916778156	2	1	1	0
S1-407542251	2	2	0	0
S1-747368170	2	0	2	0
S1-73325320	5	3	2	0
S1-667017397	0	0	0	0
S1-557716936	3	1	2	1
S1-344009810	3	2	1	0
S1-377860265	3	2	1	0
S1-226466026	7	3	4	0
S1-379477038	4	2	2	1
S1-133081790	4	1	3	1
S1-481968946	3	2	1	0
S1-425098743	5	1	4	0
S1-214762579	0	0	0	1
S1-511528362	6	2	4	0
S1-734234363	6	4	2	0
S1-423700237	2	1	1	1
S1-539495572	6	4	2	1
S1-989674677	4	1	3	1
S1-358190508	5	1	4	0
S1-171686053	4	1	3	0
S1-881838698	2	1	1	0
S1-524840144	1	0	1	0
S1-975827026	2	1	1	0
S1-826539792	2	1	1	0
S1-921946760	2	1	1	0
S1-751794372	6	2	4	1
S1-551543112	2	1	1	0
S1-716989332	3	3	0	0
S1-348642	5	3	2	0
S1-281867900	3	2	1	1
S1-964043943	2	1	1	0
S1-455437107	3	2	1	0
S1-530544910	4	2	2	0
S1-915429474	4	3	1	0
S1-139715788	7	3	4	0
S1-890602827	2	1	1	0
S1-791552758	3	1	2	1
S1-796542236	2	1	1	0
S1-961872077	3	2	1	1
S1-466955044	4	2	2	0
S1-522583300	3	2	1	1
S1-924302858	3	1	2	0
S1-241167841	3	1	2	0
S1-612610333	5	1	4	0
S1-738286594	4	2	2	0
S1-23347444	3	2	1	0
S1-665748332	3	2	1	1
S1-889969130	2	1	1	0
S1-301664578	5	3	2	0
S1-383739271	3	1	2	0
S1-193577408	4	1	3	0
S1-709190968	2	2	0	0
S1-204351485	3	2	1	1
S1-809240291	5	2	3	0
S1-790932655	3	1	2	0
S1-835344598	4	1	3	0
S1-915479738	4	1	3	0
S1-153877707	2	1	1	0
S1-422237198	4	1	3	1
S1-517853150	4	2	2	0
S1-543526498	2	1	1	0
S1-627481649	4	2	2	0
S1-699461990	3	1	2	0
S1-88733691	6	4	2	1
S1-9332431	3	1	2	0
S1-68324887	3	2	1	0
S1-496552026	4	1	3	0
S1-40559978	3	2	1	0
S1-647138791	3	2	1	0
S1-902821377	3	2	1	0
S1-512944500	2	0	2	1
S1-990328014	4	1	3	0
S1-873153228	5	1	4	0
S1-978632804	2	2	0	0
S1-253758430	5	3	2	0
S1-659677987	5	1	4	0
S1-750682294	7	3	4	0
S1-311831862	6	3	3	0
S1-45129289	3	2	1	0
S1-123130491	2	1	1	0
S1-297349458	6	2	4	0
S1-81883135	3	1	2	1
S1-150792804	0	0	0	0
S1-612376657	3	1	2	1
S1-108709725	3	1	2	0
S1-674938623	2	1	1	0
S1-245740029	5	3	2	0
S1-501425080	3	2	1	1
S1-824750735	1	1	0	0
S1-134426802	3	2	1	0
S1-172627624	1	0	1	1
S1-331714707	4	4	0	0
S1-111799381	4	3	1	0
S1-524084751	3	2	1	0
S1-50749491	2	1	1	1
S1-828454978	3	1	2	0
S1-871962689	3	2	1	0
S1-383557821	2	0	2	1
S1-433881576	2	0	2	0
S1-721231669	3	2	1	0
S1-250891080	0	0	0	0
S1-866741616	2	1	1	1
S1-391753721	3	0	3	0
S1-199322081	3	1	2	0
S1-8581177	0	0	0	0
S1-513407139	6	2	4	1
S1-12240557	2	1	1	0
S1-463806111	7	4	3	0
S1-510506543	6	3	3	0
S1-364406697	4	2	2	0
S1-491964710	3	2	1	0
S1-262639510	2	1	1	0
S1-2162476	6	2	4	0
S1-423285954	5	4	1	0
S1-843207570	5	3	2	0
S1-928789019	2	1	1	0
S1-871807855	3	2	1	1
S1-604514530	6	2	4	0
S1-799757293	2	1	1	0
S1-315686019	2	1	1	0
S1-913148796	6	3	3	1
S1-985215050	5	2	3	1
S1-553977197	1	1	0	0
S1-277618818	3	2	1	0
S1-944093951	4	2	2	0
S1-843257318	6	2	4	0
S1-898931841	4	3	1	0
S1-163772981	5	4	1	0
S1-670923454	4	2	2	0
S1-480446092	4	1	3	0
S1-366767657	5	4	1	0
S1-25823897	4	2	2	0
S1-68308307	2	1	1	0
S1-858824786	2	1	1	1
S1-180420423	2	1	1	0
S1-432690816	2	1	1	0
S1-765781568	3	2	1	1
S1-514025093	7	2	5	0
S1-925715075	3	1	2	0
S1-91439684	2	0	2	0
S1-651717089	3	2	1	0
S1-235974925	2	1	1	0
S1-497824410	2	1	1	0
S1-154167572	2	1	1	1
S1-991893704	4	1	3	1
S1-804962166	7	2	5	0
S1-738302954	2	2	0	0
S1-362950174	5	3	2	0
S1-675937594	2	0	2	0
S1-275002421	2	0	2	0
S1-346809542	5	2	3	0
S1-707224029	6	3	3	0
S1-305474163	3	1	2	0
S1-227140303	2	1	1	1
S1-951607587	5	3	2	0
S1-555172667	2	1	1	0
S1-300005414	3	0	3	0
S1-853939700	1	0	1	0
S1-869485358	4	3	1	0
S1-281408668	4	2	2	0
S1-414324783	1	1	0	0
S1-90639448	4	2	2	0
S1-725735551	4	1	3	1
S1-212310311	3	2	1	0
S1-658441988	2	1	1	1
S1-409521119	5	0	5	0
S1-430082601	3	1	2	0
S1-83777871	1	0	1	1
S1-646496700	6	4	2	0
S1-797636397	2	1	1	0
S1-682844169	4	2	2	0
S1-964060286	2	0	2	0
S1-958103977	4	1	3	0
S1-116177	2	2	0	0
S1-498835536	3	2	1	1
S1-102472576	5	3	2	0
S1-502298132	3	2	1	0
S1-413260555	2	1	1	0
S1-50548095	3	0	3	0
S1-156752937	5	2	3	1
S1-157760058	2	2	0	0
S1-376985246	3	2	1	0
S1-300292914	5	3	2	0
S1-33984562	5	1	4	0
S1-333386921	6	3	3	0
S1-16059640	5	3	2	0
S1-818562010	5	1	4	0
S1-411166759	4	2	2	1
S1-871380077	6	2	4	0
S1-226980027	3	1	2	0
S1-392425453	3	1	2	0
S1-667714346	2	1	1	0
S1-146497768	2	1	1	0
S1-118773253	4	1	3	0
S1-886701315	3	0	3	0
S1-731539397	4	1	3	0
S1-19747519	0	0	0	0
S1-885978262	3	1	2	0
S1-394059493	4	3	1	1
S1-876916368	2	1	1	1
S1-421026437	2	1	1	0
S1-245259144	2	0	2	0
S1-927745296	8	4	4	0
S1-627975754	5	1	4	0
S1-52583286	6	3	3	0
S1-31884911	3	2	1	0
S1-563260368	4	1	3	0
S1-69346744	1	1	0	0
S1-557643925	4	2	2	0
S1-373940784	2	2	0	0
S1-595782046	1	0	1	0
S1-372567687	3	1	2	0
S1-926692452	4	1	3	0
S1-751724860	4	3	1	0
S1-268198649	4	1	3	0
S1-979199729	3	2	1	0
S1-773439366	1	0	1	0
S1-579280069	2	1	1	0
S1-834902868	5	1	4	0
S1-95543409	7	3	4	1
S1-198221152	5	2	3	1
S1-664771580	2	1	1	0
S1-289197401	6	1	5	0
S1-421774211	2	0	2	0
S1-541564331	4	2	2	0
S1-767717598	1	0	1	1
S1-344830219	3	2	1	0
S1-645494673	1	0	1	0
S1-122733534	5	2	3	1
S1-315679803	3	2	1	1
S1-449838181	1	0	1	1
S1-25728312	3	1	2	0
S1-675018190	4	2	2	0
S1-34267226	3	0	3	1
S1-532282131	5	3	2	1
S1-426972643	3	1	2	1
S1-790341823	2	1	1	0
S1-823918386	2	1	1	0
S1-442867230	5	2	3	0
S1-403374332	4	2	2	0
S1-138419700	4	3	1	1
S1-441240815	4	3	1	0
S1-908525765	5	2	3	0
S1-435319099	4	2	2	0
S1-697138545	3	2	1	1
S1-292757412	6	3	3	0
S1-784904431	4	1	3	0
S1-148573736	5	3	2	0
S1-942997038	5	3	2	0
S1-575587101	2	1	1	0
S1-637840267	3	2	1	0
S1-506485029	7	3	4	0
S1-641234088	5	2	3	0
S1-155799136	5	3	2	1
S1-182026676	2	1	1	1
S1-608378046	2	0	2	0
S1-80386057	3	1	2	0
S1-777537816	3	2	1	1
S1-350516802	3	1	2	0
S1-148292593	4	1	3	0
S1-476781548	0	0	0	0
S1-906611551	6	2	4	0
S1-769320242	3	3	0	0
S1-49093177	2	1	1	0
S1-818145887	4	0	4	1
S1-548630622	2	1	1	1
S1-185554892	3	0	3	0
S1-999927080	2	1	1	0
S1-468203524	6	2	4	0
S1-516027588	4	2	2	0
S1-781930629	5	1	4	0
S1-80846284	3	2	1	0
S1-297093622	5	2	3	0
S1-367554044	2	1	1	0
S1-173472517	0	0	0	0
S1-447253761	4	3	1	0
S1-677906740	2	1	1	0
S1-988708229	2	2	0	0
S1-816500572	2	2	0	0
S1-62763469	0	0	0	0
S1-823739733	5	4	1	0
S1-958915747	5	3	2	0
S1-674254419	3	0	3	0
S1-843613381	2	1	1	0
S1-166254571	4	1	3	0
S1-625296476	4	2	2	1
S1-916665580	3	2	1	0
S1-214192623	3	1	2	0
S1-558254120	3	1	2	0
S1-819905581	4	1	3	0
S1-470776843	6	2	4	0
S1-277743177	4	1	3	0
S1-737072551	2	1	1	0
S1-443605421	3	1	2	0
S1-217949476	3	2	1	0
S1-130050705	7	4	3	0
S1-582824483	2	1	1	0
S1-312264862	7	4	3	0
S1-12970790	0	0	0	0
S1-755504412	4	3	1	0
S1-888480952	2	0	2	0
S1-471753863	5	2	3	0
S1-366958936	4	2	2	0
S1-674882976	3	2	1	0
S1-394912287	5	3	2	0
S1-349550100	3	2	1	1
S1-892275036	3	2	1	0
S1-311950164	6	3	3	0
S1-6882632	5	4	1	0
S1-146307722	6	3	3	0
S1-790068274	4	2	2	0
S1-111609632	6	4	2	0
S1-495718955	3	0	3	0
S1-330232473	2	1	1	1
S1-94703561	5	2	3	0
S1-695252025	5	4	1	0
S1-252079777	3	2	1	0
S1-868506443	2	0	2	1
S1-691358581	3	2	1	0
S1-786987838	1	1	0	0
S1-732131980	5	1	4	0
S1-472469007	2	1	1	0
S1-726599835	3	3	0	0
S1-9606988	2	1	1	1
S1-489281546	4	2	2	0
S1-354580627	2	1	1	0
S1-248975398	3	2	1	0
S1-175183268	3	1	2	0
S1-502381766	3	1	2	0
S1-124131301	1	1	0	0
S1-239772982	4	3	1	0
S1-426702569	2	2	0	1
S1-879250372	4	2	2	1
S1-812027823	3	1	2	0
S1-329515526	2	1	1	0
S1-403361289	1	1	0	0
S1-591231394	6	3	3	0
S1-512305382	3	3	0	0
S1-421216186	5	3	2	0
S1-469673526	5	3	2	0
S1-717748099	4	3	1	0
S1-630822944	1	1	0	0
S1-877469341	0	0	0	0
S1-133615764	2	1	1	0
S1-589298046	5	3	2	0
S1-651100599	2	1	1	0
S1-492146489	0	0	0	0
S1-788767201	7	3	4	0
S1-89493880	3	1	2	0
S1-279900868	3	2	1	0
S1-369198632	4	2	2	0
S1-961234533	6	4	2	0
S1-297117861	4	1	3	0
S1-294048548	7	4	3	0
S1-431442616	2	1	1	1
S1-529587698	7	3	4	1
S1-644155092	8	4	4	0
S1-58393019	5	1	4	0
S1-602295496	1	0	1	1
S1-35815025	4	2	2	1
S1-497254803	1	1	0	0
S1-29947562	3	1	2	0
S1-79552085	3	2	1	0
S1-403272136	2	1	1	0
S1-739760170	2	1	1	0
S1-268959255	3	0	3	1
S1-600290549	4	2	2	0
S1-534734730	2	1	1	0
S1-974637492	5	2	3	0
S1-247187514	5	3	2	0
S1-123636921	3	2	1	0
S1-661814492	1	0	1	0
S1-260473404	3	2	1	0
S1-532325191	0	0	0	1
S1-93050817	2	1	1	0
S1-528579785	4	3	1	0
S1-176042931	5	4	1	0
S1-832939285	2	0	2	0
S1-857746152	4	2	2	0
S1-438665300	3	1	2	1
S1-866931507	5	3	2	1
S1-449096275	2	1	1	0
S1-154630659	3	1	2	1
S1-700383051	4	2	2	0
S1-326794764	2	1	1	1
S1-772206302	6	2	4	0
S1-590068449	2	2	0	0
S1-857521517	3	1	2	0
S1-915107725	4	2	2	0
S1-632088756	8	3	5	0
S1-692770838	4	2	2	0
S1-784865606	0	0	0	0
S1-724078683	2	2	0	0
S1-115454597	6	4	2	0
S1-382736435	4	3	1	0
S1-225738018	1	0	1	0
S1-951747887	6	3	3	1
S1-310826441	6	1	5	0
S1-708263196	5	2	3	0
S1-512011683	6	3	3	0
S1-63055253	3	2	1	1
S1-648457388	5	1	4	1
S1-874808541	6	3	3	0
S1-711484228	5	3	2	0
S1-15555512	4	1	3	0
S1-834942894	5	2	3	1
S1-725309828	5	4	1	0
S1-199048795	2	1	1	0
S1-937504459	5	2	3	0
S1-472323567	3	2	1	0
S1-75528756	5	1	4	0
S1-328430261	3	0	3	0
S1-86515448	0	0	0	0
S1-169367630	3	1	2	0
S1-180886306	4	1	3	1
S1-64579168	4	3	1	0
S1-935290655	4	2	2	0
S1-994219175	5	1	4	0
S1-923260582	4	1	3	0
S1-410815190	2	1	1	0
S1-397473423	4	4	0	0
S1-901377755	5	2	3	0
S1-509905357	0	0	0	1
S1-556500584	3	3	0	0
S1-928650413	5	4	1	0
S1-295803289	9	5	4	0
S1-856630745	3	2	1	1
S1-738118317	4	2	2	0
S1-198675986	5	3	2	0
S1-2961809	3	1	2	0
S1-93843316	6	4	2	0
S1-184260372	4	3	1	0
S1-59384158	3	2	1	0
S1-598731881	0	0	0	0
S1-532173896	3	0	3	0
S1-321904255	5	3	2	1
S1-735260909	3	2	1	0
S1-594594513	1	0	1	0
S1-506278527	1	1	0	1
S1-968250858	3	2	1	1
S1-484860781	3	1	2	0
S1-800766628	3	1	2	0
S1-837730321	4	4	0	0
S1-463630507	6	4	2	0
S1-531075656	7	2	5	0
S1-305861684	6	4	2	0
S1-890064969	4	3	1	0
S1-421634986	3	1	2	0
S1-593425429	4	3	1	1
S1-988338021	4	2	2	0
S1-642903895	1	0	1	0
S1-410500500	0	0	0	0
S1-17068382	1	0	1	1
S1-982591817	3	1	2	0
S1-44004091	4	2	2	0
S1-107757375	4	2	2	0
S1-520380067	3	2	1	0
S1-213721585	7	4	3	0
S1-147916424	2	1	1	0
S1-897525219	3	1	2	1
S1-359931067	4	3	1	1
S1-225260952	4	1	3	1
S1-286272499	3	1	2	0
S1-671301358	5	3	2	0
S1-814329361	4	3	1	0
S1-833195011	4	1	3	0
S1-819441905	1	1	0	0
S1-430428350	3	1	2	0
S1-797670302	2	1	1	1
S1-286655887	4	3	1	0
S1-807131356	4	2	2	0
S1-859396485	4	1	3	0
S1-222821633	3	2	1	0
S1-344381735	1	1	0	0
S1-223404776	5	1	4	0
S1-672531425	5	2	3	0
S1-29590512	3	1	2	0
S1-8924690	3	1	2	0
S1-849751400	4	1	3	0
S1-177255330	2	0	2	0
S1-669816129	4	2	2	1
S1-530087827	2	1	1	1
S1-202618983	3	1	2	0
S1-644653141	4	2	2	0
S1-829032033	2	1	1	0
S1-683322309	5	2	3	0
S1-702039324	4	3	1	0
S1-361485981	3	2	1	0
S1-932265297	2	1	1	0
S1-877250577	4	2	2	0
S1-223949230	2	1	1	0
S1-142553519	4	2	2	0
S1-789247864	2	1	1	0
S1-627752349	2	1	1	0
S1-917367328	3	2	1	0
S1-642164679	5	4	1	0
S1-444978633	3	2	1	1
S1-555049549	3	2	1	0
S1-527497541	5	3	2	0
S1-755679808	4	3	1	0
S1-738284267	6	3	3	1
S1-699909662	3	1	2	0
S1-895774328	1	1	0	0
S1-243598353	2	1	1	0
S1-397338754	3	1	2	0
S1-834925961	3	1	2	1
S1-297266553	0	0	0	0
S1-109396190	6	2	4	1
S1-382861164	5	2	3	0
S1-644815221	4	2	2	0
S1-832029098	3	1	2	0
S1-343915842	2	0	2	0
S1-200332639	5	1	4	1
S1-884873183	6	4	2	0
S1-899883051	4	1	3	1
S1-615954597	5	2	3	0
S1-996507806	4	2	2	0
S1-247878862	3	1	2	0
S1-308386690	4	3	1	0
S1-377416583	3	1	2	0
S1-637557417	0	0	0	0
S1-778752849	3	2	1	0
S1-410783352	4	2	2	0
S1-231098202	1	0	1	0
S1-712235440	1	0	1	0
S1-347760092	5	3	2	1
S1-715993194	2	1	1	0
S1-956955306	4	3	1	0
S1-52701010	3	2	1	0
S1-394531291	3	2	1	1
S1-899666662	4	1	3	0
S1-142832040	5	3	2	0
S1-685713145	5	1	4	0
S1-678161138	2	1	1	0
S1-809972116	4	1	3	0
S1-576399398	4	2	2	1
S1-247284513	3	2	1	1
S1-410346353	3	1	2	0
S1-305752173	2	1	1	0
S1-436269183	4	1	3	0
S1-91728060	4	2	2	0
S1-920346567	5	2	3	0
S1-366858211	6	3	3	1
S1-947820786	1	1	0	0
S1-73409791	3	2	1	1
S1-800010697	3	1	2	0
S1-455907902	2	2	0	0
S1-71184815	5	2	3	0
S1-138946762	5	2	3	1
S1-819219648	0	0	0	0
S1-176944060	4	0	4	0
S1-142680816	5	2	3	0
S1-129528072	6	2	4	0
S1-300779801	4	3	1	0
S1-403614753	5	1	4	0
S1-867965442	2	1	1	0
S1-790108889	2	1	1	0
S1-252965036	4	1	3	0
S1-522608106	5	2	3	0
S1-356197316	3	1	2	0
S1-702367921	4	2	2	0
S1-400071544	2	0	2	0
S1-203434532	4	3	1	0
S1-851393642	6	2	4	0
S1-862886626	5	2	3	0
S1-827726130	4	2	2	0
S1-233974940	2	1	1	0
S1-906731367	4	3	1	1
S1-36841639	3	1	2	0
S1-620678354	4	2	2	1
S1-490390736	3	0	3	0
S1-335967956	3	1	2	1
S1-240318554	4	3	1	1
S1-61673133	0	0	0	0
S1-17329038	3	1	2	0
S1-551214816	3	1	2	0
S1-224232599	5	1	4	0
S1-105146534	3	1	2	0
S1-465348930	6	3	3	0
S1-69952960	2	2	0	0
S1-672585168	2	0	2	0
S1-919316239	6	4	2	0
S1-416525796	4	2	2	1
S1-301364052	1	1	0	1
S1-983121686	3	1	2	0
S1-224375807	4	1	3	0
S1-578391162	3	2	1	0
S1-502792973	2	0	2	0
S1-892236833	4	2	2	0
S1-517026460	3	1	2	0
S1-817242922	5	3	2	1
S1-933499964	4	2	2	0
S1-256291318	3	3	0	0
S1-487099073	3	2	1	1
S1-636088472	5	3	2	0
S1-952690804	3	1	2	0
S1-214346352	0	0	0	0
S1-186416662	2	2	0	0
S1-58178856	5	2	3	1
S1-490204333	3	2	1	0
S1-653698258	4	0	4	1
S1-739616829	0	0	0	1
S1-112940627	4	1	3	1
S1-397274285	4	2	2	0
S1-630441583	6	4	2	0
S1-342980988	1	1	0	0
S1-37057910	3	2	1	0
S1-956777310	3	0	3	0
S1-705906271	2	2	0	0
S1-389979959	5	3	2	1
S1-337287147	2	1	1	0
S1-404657330	2	1	1	0
S1-70100630	2	1	1	0
S1-847597500	5	2	3	0
S1-889570753	4	3	1	0
S1-489437170	2	0	2	0
S1-649236485	4	2	2	0
S1-367051581	7	4	3	0
S1-227419931	0	0	0	0
S1-28196969	3	1	2	0
S1-841907061	3	1	2	0
S1-339973317	4	1	3	0
S1-98050619	5	2	3	0
S1-245537574	0	0	0	0
S1-941531660	2	2	0	0
S1-219732879	3	2	1	0
S1-322441068	4	1	3	0
S1-328469340	6	3	3	0
S1-638508407	0	0	0	1
S1-3988382	5	2	3	0
S1-774540597	4	1	3	0
S1-756237839	3	1	2	1
S1-691701111	2	0	2	0
S1-156475593	3	1	2	0
S1-778666551	2	1	1	0
S1-583353739	6	3	3	0
S1-255766183	4	1	3	0
S1-435586996	1	0	1	0
S1-772575833	4	1	3	0
S1-32186761	5	1	4	0
S1-241895133	5	1	4	1
S1-375190672	4	2	2	0
S1-326825112	4	3	1	1
S1-713283744	2	1	1	1
S1-787384390	3	1	2	0
S1-929842045	2	1	1	0
S1-688696572	3	0	3	0
S1-517718958	0	0	0	0
S1-752529804	4	3	1	0
S1-282841311	3	1	2	0
S1-445178607	0	0	0	0
S1-867874202	3	1	2	0
S1-210700579	8	5	3	0
S1-76518713	5	3	2	0
S1-502039482	6	3	3	0
S1-476097182	2	1	1	0
S1-509830263	5	1	4	0
S1-40986903	3	1	2	0
S1-620262701	5	2	3	0
S1-714612389	3	2	1	0
S1-270587511	4	2	2	0
S1-448653123	3	2	1	0
S1-310630315	4	1	3	0
S1-464294102	6	1	5	0
S1-188134909	3	0	3	0
S1-64826979	2	2	0	0
S1-161567427	2	2	0	1
S1-680247081	2	1	1	0
S1-331704017	9	5	4	0
S1-684925145	2	1	1	1
S1-13336043	2	1	1	0
S1-777799536	5	3	2	0
S1-656231757	5	3	2	1
S1-195716874	6	3	3	0
S1-116087381	3	2	1	0
S1-520679444	3	1	2	0
S1-29862602	4	3	1	0
S1-357295155	1	0	1	1
S1-520633869	7	4	3	1
S1-731154664	2	2	0	0
S1-174502099	0	0	0	0
S1-791648117	1	1	0	0
S1-719889314	2	1	1	1
S1-891098254	2	1	1	0
S1-945222342	3	1	2	1
S1-772660315	4	2	2	0
S1-997310712	5	4	1	0
S1-137673408	1	1	0	0
S1-831032977	6	2	4	0
S1-447230320	7	3	4	0
S1-644483533	4	2	2	0
S1-919189135	2	1	1	1
S1-168276702	7	2	5	0
S1-851561727	5	3	2	0
S1-54400010	0	0	0	0
S1-773466497	3	2	1	0
S1-380161414	5	1	4	0
S1-790598760	4	2	2	1
S1-540897787	1	1	0	0
S1-435426646	5	2	3	1
S1-818888308	5	1	4	1
S1-658603891	5	4	1	0
S1-446330730	4	3	1	0
S1-437087871	3	1	2	0
S1-167603985	3	1	2	0
S1-423931692	4	2	2	0
S1-253870083	6	2	4	0
S1-721424214	1	1	0	1
S1-875287787	2	2	0	0
S1-953057476	0	0	0	1
S1-908743255	4	3	1	0
S1-690064886	6	3	3	0
S1-347383673	6	3	3	0
S1-129985911	0	0	0	0
S1-226441569	0	0	0	0
S1-384490229	0	0	0	0
S1-653322506	2	1	1	0
S1-361917992	5	4	1	1
S1-661407716	3	2	1	0
S1-270229536	5	2	3	1
S1-852600847	5	2	3	0
S1-102108947	1	1	0	0
S1-9714409	3	2	1	1
S1-916052572	3	2	1	0
S1-444779444	6	2	4	0
S1-303510423	4	1	3	0
S1-252570434	3	1	2	0
S1-90273338	2	1	1	0
S1-941401579	2	1	1	0
S1-803568627	4	1	3	0
S1-205197806	2	1	1	0
S1-624983672	7	4	3	0
S1-64245376	2	1	1	0
S1-831117469	3	2	1	0
S1-703135970	3	1	2	1
S1-788649810	3	0	3	1
S1-904306643	1	1	0	0
S1-547888113	6	2	4	0
S1-855978833	4	2	2	1
S1-377020560	2	0	2	0
S1-989999098	3	2	1	0
S1-24738053	6	3	3	1
S1-322066165	5	1	4	0
S1-959776909	4	3	1	0
S1-137010154	5	2	3	0
S1-159945993	6	3	3	0
S1-327811328	6	3	3	1
S1-828081772	3	1	2	0
S1-68318948	2	1	1	0
S1-84017783	7	2	5	0
S1-114198011	0	0	0	0
S1-253908489	3	2	1	0
S1-47157678	4	3	1	0
S1-377966619	2	1	1	1
S1-436611196	3	1	2	1
S1-566103091	5	2	3	0
S1-434659562	5	1	4	0
S1-955596854	4	2	2	0
S1-931701726	4	1	3	0
S1-848264756	4	2	2	0
S1-428417873	5	2	3	0
S1-746474057	5	1	4	1
S1-132214038	7	5	2	0
S1-994206236	4	3	1	1
S1-297941603	4	3	1	1
S1-305604888	7	3	4	0
S1-667265043	2	1	1	0
S1-397609385	5	1	4	0
S1-565767524	2	1	1	1
S1-78332309	3	1	2	1
S1-430089260	3	2	1	0
S1-408063271	5	2	3	0
S1-319105003	5	2	3	0
S1-497576578	4	1	3	0
S1-187387873	3	2	1	0
S1-916342165	3	2	1	0
S1-505753870	3	1	2	0
S1-552538729	2	1	1	0
S1-236231890	5	3	2	0
S1-490011540	5	2	3	0
S1-548983330	2	1	1	0
S1-356947762	4	3	1	0
S1-313243435	2	1	1	0
S1-525094023	4	3	1	1
S1-469020714	7	4	3	1
S1-342223702	3	3	0	1
S1-322670554	4	3	1	1
S1-789105900	4	2	2	0
S1-982913110	3	1	2	0
S1-686474484	2	1	1	1
S1-948171821	7	3	4	0
S1-555030108	4	1	3	0
S1-277534557	3	2	1	0
S1-148055400	3	2	1	0
S1-955841937	2	0	2	0
S1-717166457	4	3	1	1
S1-494180603	4	2	2	0
S1-990775370	0	0	0	0
S1-14722979	2	1	1	0
S1-465026541	3	2	1	0
S1-75791999	4	2	2	0
S1-780804859	2	1	1	0
S1-145437375	0	0	0	0
S1-713620049	4	2	2	0
S1-469762410	0	0	0	0
S1-918333130	6	4	2	0
S1-447747292	3	3	0	1
S1-458712646	2	1	1	0
S1-628010329	6	4	2	1
S1-50588991	4	3	1	1
S1-768873530	3	1	2	0
S1-961422408	1	1	0	0
S1-862538360	3	1	2	0
S1-368507381	4	3	1	0
S1-459361794	3	1	2	0
S1-948823606	3	2	1	1
S1-439452721	4	1	3	0
S1-910375831	3	1	2	0
S1-649420737	6	3	3	0
S1-17206388	6	3	3	1
S1-938036749	6	3	3	1
S1-303434445	3	1	2	0
S1-530628821	4	2	2	0
S1-208825334	7	2	5	1
S1-849886484	3	2	1	0
S1-304226795	3	2	1	0
S1-363830668	3	2	1	1
S1-880693230	2	0	2	0
S1-374516083	7	4	3	0
S1-465160792	3	0	3	0
S1-398452	2	1	1	0
S1-552611163	1	1	0	1
S1-149756625	0	0	0	0
S1-529848674	7	5	2	0
S1-210360591	3	1	2	0
S1-364380512	6	4	2	0
S1-581388698	2	1	1	1
S1-972285523	5	0	5	0
S1-387636300	7	4	3	0
S1-913520662	6	3	3	0
S1-545882103	4	2	2	0
S1-311646538	2	1	1	0
S1-87468421	5	2	3	0
S1-533013989	2	1	1	0
S1-544143764	5	3	2	0
S1-479161107	3	2	1	0
S1-146690984	4	2	2	0
S1-550832158	1	1	0	0
S1-310478083	5	2	3	0
S1-655420763	3	2	1	1
S1-890192535	2	0	2	0
S1-355223868	6	3	3	0
S1-577903375	1	1	0	0
S1-55330790	5	3	2	0
S1-267597251	1	0	1	0
S1-752880228	3	2	1	0
S1-678895390	4	2	2	0
S1-41436060	4	2	2	0
S1-709254162	3	2	1	1
S1-838870863	6	2	4	0
S1-950742151	5	1	4	0
S1-859649679	2	0	2	1
S1-111328067	3	2	1	0
S1-209144279	2	1	1	0
S1-614350784	3	1	2	1
S1-379528977	2	0	2	1
S1-882931334	8	5	3	0
S1-470487334	8	5	3	0
S1-621207870	8	4	4	0
S1-805364335	2	0	2	1
S1-360609167	4	2	2	0
S1-846263345	2	1	1	0
S1-87673236	6	3	3	0
S1-837256740	4	2	2	0
